date,close,ma_5,ma_20,signal
2023-01-02,1819.454345703125,,,0
2023-01-03,1827.23046875,,,0
2023-01-04,1815.16748046875,,,0
2023-01-05,1814.7188720703125,,,0
2023-01-06,1781.3216552734375,1811.578564453125,,0
2023-01-09,1806.3447265625,1808.956640625,,0
2023-01-10,1790.0447998046875,1801.5195068359376,,0
2023-01-11,1796.325439453125,1797.7510986328125,,0
2023-01-12,1774.0439453125,1789.61611328125,,0
2023-01-13,1774.841552734375,1788.3200927734374,,0
2023-01-16,1779.3277587890625,1782.91669921875,,0
2023-01-17,1792.1383056640625,1783.335400390625,,0
2023-01-18,1793.5838623046875,1782.7870849609376,,0
2023-01-19,1761.8814697265625,1780.35458984375,,0
2023-01-20,1757.4949951171875,1776.8852783203124,,0
2023-01-23,1778.2808837890625,1776.6759033203125,,0
2023-01-24,1754.8529052734375,1769.2188232421877,,0
2023-01-25,1744.43505859375,1759.3890625,,0
2023-01-27,1707.8475341796875,1748.582275390625,,0
2023-01-30,1720.957275390625,1741.2747314453125,1779.514666748047,-1
2023-01-31,1725.692626953125,1730.757080078125,1774.8265808105468,-1
2023-02-01,1739.3505859375,1727.6566162109375,1770.432586669922,-1
2023-02-02,1756.3482666015625,1730.0392578125,1767.4916259765623,-1
2023-02-03,1774.841552734375,1743.4380615234377,1765.4977600097657,-1
2023-02-06,1741.6436767578125,1747.575341796875,1763.5138610839845,-1
2023-02-07,1769.95654296875,1756.428125,1761.6944519042968,-1
2023-02-08,1760.0869140625,1760.575390625,1760.1965576171874,1
2023-02-09,1765.4703369140625,1762.3998046875,1758.6538024902345,1
2023-02-10,1766.6168212890625,1760.7548583984376,1758.2824462890626,1
2023-02-13,1768.3614501953125,1766.0984130859374,1757.9584411621097,1
2023-02-14,1764.921875,1765.0914794921875,1757.2381469726563,1
2023-02-15,1780.0255126953125,1769.07919921875,1756.6325073242188,1
2023-02-16,1782.468017578125,1772.4787353515626,1756.0767150878903,1
2023-02-17,1753.8560791015625,1769.9265869140625,1755.6754455566406,1
2023-02-20,1731.9735107421875,1762.6489990234377,1754.399371337891,1
2023-02-21,1724.89501953125,1754.6436279296877,1751.730078125,1
2023-02-22,1695.3360595703125,1737.7057373046875,1748.7542358398437,-1
2023-02-23,1701.915771484375,1721.5952880859377,1746.628271484375,-1
2023-02-24,1692.095947265625,1709.24326171875,1745.8406921386718,-1
2023-02-27,1720.657958984375,1706.9801513671875,1745.825726318359,-1
2023-02-28,1723.947998046875,1706.7907470703126,1745.7384948730469,-1
2023-03-01,1739.550048828125,1715.633544921875,1745.748468017578,-1
2023-03-02,1716.421142578125,1718.534619140625,1743.7521118164063,-1
2023-03-03,1745.6314697265625,1729.2417236328124,1742.2916076660156,-1
2023-03-06,1745.6314697265625,1734.23642578125,1742.4909973144531,-1
2023-03-08,1734.8643798828125,1736.4197021484374,1740.7363891601562,-1
2023-03-09,1711.4365234375,1730.7969970703125,1738.3038696289063,-1
2023-03-10,1694.08984375,1726.3307373046875,1734.734844970703,-1
2023-03-13,1668.767822265625,1710.9580078125,1729.8423950195313,-1
2023-03-14,1643.1962890625,1690.4709716796874,1723.5841369628906,-1
2023-03-15,1660.842041015625,1675.66650390625,1718.380145263672,-1
2023-03-16,1658.449462890625,1665.069091796875,1712.3013427734377,-1
2023-03-17,1687.9088134765625,1663.8328857421875,1707.5733825683594,-1
2023-03-20,1694.438720703125,1668.9670654296874,1704.6025146484376,-1
2023-03-21,1701.61669921875,1680.6511474609374,1703.0846740722657,-1
2023-03-22,1699.921875,1688.4671142578125,1701.8360168457032,-1
2023-03-23,1674.5499267578125,1691.68720703125,1700.7967102050782,-1
2023-03-24,1686.9619140625,1691.4978271484374,1700.0490173339845,-1
2023-03-27,1699.9716796875,1692.6044189453123,1700.442803955078,-1
2023-03-28,1693.6910400390625,1691.019287109375,1699.0944580078126,-1
2023-03-29,1715.773193359375,1694.18955078125,1698.6857177734375,-1
2023-03-31,1727.5369873046875,1704.786962890625,1698.0850646972656,1
2023-04-03,1740.347412109375,1715.4640625,1699.2813781738282,1
2023-04-05,1746.5286865234375,1724.7754638671877,1699.326239013672,1
2023-04-06,1751.712646484375,1736.37978515625,1699.6302978515623,1
2023-04-10,1753.9058837890625,1744.0063232421876,1700.582373046875,1
2023-04-11,1840.8385009765625,1766.6666259765625,1707.052471923828,1
2023-04-12,1838.39599609375,1786.2763427734376,1714.2677795410157,1
2023-04-13,1863.76806640625,1809.72421875,1724.0177917480469,1
2023-04-17,1889.33935546875,1837.249560546875,1736.3249450683593,1
2023-04-18,1882.5103759765625,1862.970458984375,1747.4083618164063,1
2023-04-19,1879.120849609375,1870.6269287109376,1758.4419311523438,1
2023-04-20,1878.2235107421875,1878.592431640625,1767.957666015625,1
2023-04-21,1887.8438720703125,1883.4075927734373,1777.6279235839845,1
2023-04-24,1891.432861328125,1883.8262939453125,1787.1187316894532,1
2023-04-25,1883.50732421875,1884.02568359375,1796.2980041503906,1
2023-04-26,1872.840087890625,1882.76953125,1806.2125122070315,1
2023-04-27,1902.7481689453125,1887.674462890625,1817.001824951172,1
2023-04-28,1932.1077880859373,1896.52724609375,1828.6086303710936,1
2023-05-02,1915.2596435546875,1901.2926025390625,1839.687060546875,1
2023-05-03,1925.029541015625,1909.5970458984373,1850.149877929688,1
2023-05-04,1941.62841796875,1923.3547119140624,1860.854449462891,1
2023-05-05,1922.786376953125,1927.362353515625,1869.9763977050784,1
2023-05-08,1952.843994140625,1931.5095947265625,1880.292163085937,1
2023-05-09,1948.3079833984373,1938.1192626953125,1890.1219299316408,1
2023-05-10,1952.6944580078125,1943.65224609375,1900.0613586425784,1
2023-05-11,1951.94677734375,1945.71591796875,1905.6167724609372,1
2023-05-12,1954.5887451171875,1952.0763916015624,1911.4264099121092,1
2023-05-15,1966.95068359375,1954.8977294921876,1916.5855407714844,1
2023-05-16,1941.080322265625,1953.452197265625,1919.172589111328,1
2023-05-17,1903.29638671875,1943.5725830078125,1920.2118896484376,1
2023-05-18,1921.4906005859373,1937.48134765625,1922.3303771972653,1
2023-05-19,1935.69677734375,1933.7029541015625,1925.204040527344,1
2023-05-22,1934.251220703125,1927.1630615234376,1927.5244079589845,-1
2023-05-23,1915.608642578125,1922.0687255859373,1928.7331970214843,-1
2023-05-24,1904.4927978515625,1922.3080078125,1929.782470703125,-1
2023-05-25,1924.03271484375,1922.8164306640624,1932.3421020507808,-1
2023-05-26,1939.0863037109373,1923.4943359375,1934.1590087890625,-1
2023-05-29,1947.2113037109373,1926.0863525390623,1934.9141845703125,-1
2023-05-30,1968.6453857421875,1936.693701171875,1937.583471679688,-1
2023-05-31,2008.1739501953125,1957.429931640625,1941.740692138672,1
2023-06-01,1924.1324462890625,1957.4498779296875,1940.8658935546875,1
2023-06-02,1932.8057861328125,1956.1937744140623,1941.366864013672,1
2023-06-05,1918.9981689453125,1950.5511474609373,1939.6745727539064,1
2023-06-06,1953.0435791015625,1947.4307861328125,1939.9113525390624,1
2023-06-07,1933.4537353515625,1932.4867431640623,1938.94931640625,-1
2023-06-08,1880.7158203125,1923.80341796875,1935.3877685546877,-1
2023-06-09,1866.26025390625,1910.494311523437,1930.9713439941409,-1
2023-06-12,1873.6875,1901.432177734375,1926.3081848144527,-1
2023-06-13,1850.2593994140625,1880.875341796875,1921.767138671875,-1
2023-06-14,1858.9327392578125,1865.971142578125,1919.548956298828,-1
2023-06-15,1827.87841796875,1855.403662109375,1914.8683471679688,-1
2023-06-16,1851.705078125,1852.492626953125,1910.6687622070312,-1
2023-06-19,1818.955810546875,1841.5462890625,1904.9039916992188,-1
2023-06-20,1838.3463134765625,1839.163671875,1901.0408752441408,-1
2023-06-21,1839.8914794921875,1835.355419921875,1897.810809326172,-1
2023-06-22,1830.4703369140625,1835.8738037109372,1893.1326904296875,-1
2023-06-23,1822.943603515625,1830.1215087890623,1887.3255554199216,-1
2023-06-26,1817.360595703125,1829.8024658203128,1880.8330200195312,-1
2023-06-27,1839.0439453125,1829.9419921875,1874.3529479980468,-1
2023-06-28,1834.9068603515625,1828.945068359375,1865.6895935058596,-1
2023-06-30,1840.888427734375,1831.0286865234373,1861.527392578125,-1
2023-07-03,1838.2962646484373,1834.09921875,1856.8019165039063,-1
2023-07-04,1855.9918212890625,1841.8254638671876,1853.6515991210936,-1
2023-07-05,1859.13232421875,1845.8431396484373,1848.956036376953,-1
2023-07-06,1871.5440673828125,1853.1705810546875,1845.860552978516,1
2023-07-07,1847.8170166015625,1854.556298828125,1844.2156127929688,1
2023-07-10,1861.1759033203125,1859.1322265625,1843.961395263672,1
2023-07-11,1860.8768310546875,1860.109228515625,1843.3208618164065,1
2023-07-12,1872.3416748046875,1862.7510986328125,1844.424975585937,1
2023-07-13,1863.96728515625,1861.2357421875,1844.6767028808597,1
2023-07-14,1863.2694091796875,1864.326220703125,1846.4462524414064,1
2023-07-17,1891.2335205078125,1870.337744140625,1848.422674560547,1
2023-07-18,1885.052490234375,1875.1728759765624,1851.7275085449216,1
2023-07-19,1900.754150390625,1880.85537109375,1854.847900390625,1
2023-07-20,1950.9000244140625,1898.2419189453128,1860.3983276367187,1
2023-07-21,1964.1593017578125,1918.4198974609376,1867.0827758789064,1
2023-07-24,1891.432861328125,1918.459765625,1870.5072387695316,1
2023-07-25,1869.74951171875,1915.399169921875,1873.1266845703128,1
2023-07-26,1889.489013671875,1913.146142578125,1875.6489379882807,1
2023-07-27,1868.0050048828125,1896.567138671875,1877.303845214844,1
2023-07-28,1871.095458984375,1877.9543701171876,1878.814196777344,-1
2023-07-31,1850.8577880859373,1869.83935546875,1879.4422729492187,-1
2023-08-01,1844.3277587890625,1864.7550048828125,1878.8590698242188,-1
2023-08-02,1818.1083984375,1850.4788818359373,1876.807873535156,-1
2023-08-03,1817.6597900390625,1840.4098388671875,1874.1136596679687,-1
2023-08-04,1834.3721923828125,1833.065185546875,1873.4414184570312,-1
2023-08-07,1827.4378662109373,1828.381201171875,1871.7545166015625,-1
2023-08-08,1823.895751953125,1824.2947998046875,1869.9054626464845,-1
2023-08-09,1827.387939453125,1826.1507080078125,1867.6577758789065,-1
2023-08-10,1796.8067626953125,1821.9801025390625,1864.2997497558597,-1
2023-08-11,1787.4278564453125,1812.5912353515623,1860.5076721191408,-1
2023-08-14,1790.0718994140625,1805.1180419921875,1855.4495910644528,-1
2023-08-16,1782.1895751953125,1796.776806640625,1850.3064453125,-1
2023-08-17,1761.735595703125,1783.646337890625,1843.355517578125,-1
2023-08-18,1746.8692626953125,1773.658837890625,1833.1539794921875,-1
2023-08-21,1756.397705078125,1767.4528076171875,1822.7658996582031,-1
2023-08-22,1759.1414794921875,1761.2667236328125,1816.1513305664064,-1
2023-08-23,1776.053466796875,1760.039501953125,1811.4665283203128,-1
2023-08-24,1776.951416015625,1763.082666015625,1805.8396484375,-1
2023-08-25,1774.856201171875,1768.6800537109375,1801.1822082519532,-1
2023-08-28,1786.330322265625,1774.6665771484377,1796.9439514160156,-1
2023-08-29,1779.0966796875,1778.6576171875,1793.3558959960938,-1
2023-08-30,1770.9150390625,1777.629931640625,1789.6852600097657,-1
2023-08-31,1754.80126953125,1773.19990234375,1786.5199035644532,-1
2023-09-01,1767.12353515625,1771.653369140625,1783.9930908203123,-1
2023-09-04,1758.243408203125,1766.035986328125,1780.1866516113282,-1
2023-09-05,1767.07373046875,1763.631396484375,1777.1684448242188,-1
2023-09-06,1766.325439453125,1762.7134765625,1774.2899291992187,-1
2023-09-07,1784.9833984375,1768.74990234375,1772.1697021484374,-1
2023-09-08,1789.173828125,1773.1599609375,1771.788055419922,1
2023-09-11,1803.8409423828125,1782.2794677734375,1772.608709716797,1
2023-09-12,1807.133544921875,1790.2914306640623,1773.4617919921875,1
2023-09-13,1820.50341796875,1801.1270263671877,1775.377484130859,1
2023-09-14,1817.4603271484373,1807.622412109375,1778.163720703125,1
2023-09-15,1809.8275146484373,1811.7531494140624,1781.3116333007813,1
2023-09-18,1794.3123779296875,1809.8474365234372,1783.2073669433594,1
2023-09-20,1785.432373046875,1805.5072021484373,1784.5219116210938,1
2023-09-21,1751.7581787109375,1791.758154296875,1783.307147216797,1
2023-09-22,1752.5064697265625,1778.7673828125,1782.0848999023438,-1
2023-09-25,1780.3936767578125,1772.880615234375,1782.361773681641,-1
2023-09-26,1760.1392822265625,1766.04599609375,1781.0522216796876,-1
2023-09-27,1761.18701171875,1761.196923828125,1780.15673828125,-1
2023-09-28,1729.30859375,1756.7070068359376,1778.076416015625,-1
2023-09-29,1731.802978515625,1752.56630859375,1776.9265014648438,-1
2023-10-03,1723.172607421875,1741.1220947265624,1774.728955078125,-1
2023-10-04,1718.1837158203125,1732.7309814453124,1772.7259704589844,-1
