date,close,ma_5,ma_20,signal
2023-01-02,1175.8896484375,,,0
2023-01-03,1167.28466796875,,,0
2023-01-04,1149.7095947265625,,,0
2023-01-05,1147.6553955078125,,,0
2023-01-06,1158.0863037109375,1159.7251220703124,,0
2023-01-09,1185.4302978515625,1161.633251953125,,0
2023-01-10,1167.9010009765625,1161.7565185546875,,0
2023-01-11,1153.1790771484375,1162.4504150390626,,0
2023-01-12,1128.2769775390625,1158.5747314453124,,0
2023-01-13,1126.451171875,1152.247705078125,,0
2023-01-16,1115.723388671875,1138.3063232421875,,0
2023-01-17,1131.5638427734375,1131.0388916015625,,0
2023-01-18,1129.692138671875,1126.34150390625,,0
2023-01-19,1128.4825439453125,1126.3826171875,,0
2023-01-20,1115.0615234375,1124.1046875,,0
2023-01-23,1109.4237060546875,1122.8447509765624,,0
2023-01-24,1102.873046875,1117.106591796875,,0
2023-01-25,1087.6259765625,1108.693359375,,0
2023-01-27,1066.9923095703125,1096.3953125,,0
2023-01-30,1077.218017578125,1088.826611328125,1131.226031494141,-1
2023-01-31,1074.5245361328125,1081.84677734375,1126.1577758789062,-1
2023-02-01,1068.156494140625,1074.903466796875,1121.2013671875,-1
2023-02-02,1062.2447509765625,1069.8272216796877,1116.828125,-1
2023-02-03,1063.1806640625,1069.064892578125,1112.6043884277344,-1
2023-02-06,1055.1690673828125,1064.6551025390625,1107.458526611328,-1
2023-02-07,1052.6356201171875,1060.2773193359376,1100.8187927246097,-1
2023-02-08,1073.6572265625,1061.3774658203124,1096.1066040039063,-1
2023-02-09,1075.52880859375,1064.03427734375,1092.224090576172,-1
2023-02-10,1066.6728515625,1064.73271484375,1089.1438842773437,-1
2023-02-13,1060.6014404296875,1065.819189453125,1085.8513977050782,-1
2023-02-14,1085.5946044921875,1072.410986328125,1084.3449584960938,-1
2023-02-15,1110.1768798828125,1079.7149169921877,1083.2756103515626,-1
2023-02-16,1109.3095703125,1086.4710693359375,1082.2564819335937,1
2023-02-17,1113.9429931640625,1095.92509765625,1081.5295043945312,1
2023-02-20,1102.16552734375,1104.2379150390625,1080.8847045898438,1
2023-02-21,1111.158447265625,1109.35068359375,1080.9714416503907,1
2023-02-22,1085.9598388671875,1104.507275390625,1080.12578125,1
2023-02-23,1080.7557373046875,1098.7965087890625,1079.782269287109,1
2023-02-24,1088.1510009765625,1093.6381103515623,1080.8402038574218,1
2023-02-27,1080.91552734375,1089.3881103515623,1081.025079345703,1
2023-02-28,1060.2362060546875,1079.203662109375,1080.3106628417968,-1
2023-03-01,1069.982421875,1076.0081787109375,1080.4019592285156,-1
2023-03-02,1061.8338623046875,1072.2238037109375,1080.381414794922,-1
2023-03-03,1088.927001953125,1072.37900390625,1081.6687316894531,-1
2023-03-06,1099.5633544921875,1076.1085693359375,1083.888446044922,-1
2023-03-08,1103.5120849609375,1084.7637451171877,1086.4322692871094,-1
2023-03-09,1076.9896240234375,1086.165185546875,1086.5988891601562,-1
2023-03-10,1060.3046875,1085.8593505859376,1085.8376831054688,1
2023-03-13,1042.866455078125,1076.6472412109374,1084.64736328125,-1
2023-03-14,1038.9635009765625,1064.5272705078123,1083.5654663085938,-1
2023-03-15,1021.2056884765624,1048.0659912109377,1080.3460205078125,-1
2023-03-16,1016.11572265625,1035.8912109375,1075.6429626464844,-1
2023-03-17,1014.8377075195312,1026.7978149414062,1070.919369506836,-1
2023-03-20,1004.8631591796876,1019.1971557617188,1065.4653778076172,-1
2023-03-21,1036.1102294921875,1018.6265014648436,1062.162612915039,-1
2023-03-22,1039.26025390625,1022.2374145507812,1058.5677032470703,-1
2023-03-23,1026.1131591796875,1024.236901855469,1055.5753692626954,-1
2023-03-24,1005.7989501953124,1022.429150390625,1051.8275299072266,-1
2023-03-27,1021.4338989257812,1025.7432983398437,1048.4916748046876,-1
2023-03-28,1026.2044677734375,1023.7621459960938,1045.756121826172,-1
2023-03-29,1020.1329345703124,1019.9366821289062,1043.750958251953,-1
