ticker,avg_daily_return,volatility
ICICIBANK.NS,0.00017670533382712096,0.009951822233820877
MARUTI.NS,5.74342569410798e-05,0.01201904187868746
HDFCBANK.NS,7.317967722123092e-06,0.010217316644083744
INFY.NS,-1.0633723654236733e-05,0.011472894563463856
SUNPHARMA.NS,-0.0001582129937054545,0.011626056728988265
KOTAKBANK.NS,-0.00016460271745471082,0.010652193570410149
TCS.NS,-0.00023674579581272964,0.011384112338756858
HINDUNILVR.NS,-0.0003046692945747798,0.011032324527287729
RELIANCE.NS,-0.00045179552749944637,0.011334446181323968
ITC.NS,-0.0007273405487716002,0.010913419062211903
CIPLA.NS,-0.0007814298753699431,0.01304345147057764
WIPRO.NS,-0.0010168675194057637,0.013526090953623896
ONGC.NS,-0.001146494575318599,0.016513440883383277
TATASTEEL.NS,-0.001351624196294854,0.015371932965036791
TATAMOTORS.NS,-0.0018180242578582845,0.015333581443323968
