,max_drawdown
TATAMOTORS.NS,-0.739953766853773
TATASTEEL.NS,-0.7288053515716933
ONGC.NS,-0.6255835212350602
ITC.NS,-0.536200355398528
WIPRO.NS,-0.5333166176809911
CIPLA.NS,-0.505523092881706
RELIANCE.NS,-0.3858434710338555
SUNPHARMA.NS,-0.3468122913028219
KOTAKBANK.NS,-0.335377385239794
HINDUNILVR.NS,-0.3177540005013013
MARUTI.NS,-0.30902124183537805
TCS.NS,-0.28280926084283087
HDFCBANK.NS,-0.252743392627337
INFY.NS,-0.20778912635575386
ICICIBANK.NS,-0.18237636191728357
