,avg_daily_return
Banking & Finance,6.4735280315110375e-06
IT Services,-0.00042141567962424324
Pharma,-0.0004698214345376989
FMCG,-0.0005160049216731899
Energy & Conglomerates,-0.0007991450514090228
Automobiles,-0.0008802950004586025
Metals,-0.001351624196294854
