ticker,CIPLA.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,MARUTI.NS,ONGC.NS,RELIANCE.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,WIPRO.NS
CIPLA.NS,1.0,0.03654100134123192,0.12232025959842044,0.04128365960149662,0.1456612588474437,0.1464299273167271,0.06468188165446985,0.12112170981134454,0.13201777747542548,0.13142568317854175,0.4223200261818322,0.14002526616004154,0.1708608169161454,0.15386998284841782,0.1835298309052359
HDFCBANK.NS,0.03654100134123192,1.0,0.06919546710038119,0.39767443365113136,0.08535772684553916,0.08932089435410125,0.35514774541280175,0.18289866051302428,0.15091007827173886,0.31161590381774334,0.09078923000371096,0.14535001662654345,0.2124754439077915,0.06859521186554138,0.11132675950576265
HINDUNILVR.NS,0.12232025959842044,0.06919546710038119,1.0,0.043256978273685055,0.2184050246986863,0.4035842282088527,0.1595935100594359,0.19312976990617614,0.020135549114247146,0.14647993448593682,0.1034817209928411,0.1008800118493738,0.008000313092273439,0.1989334877174125,0.12892946713128903
ICICIBANK.NS,0.04128365960149662,0.39767443365113136,0.043256978273685055,1.0,0.174784214848209,0.22472655961765903,0.4447156736452312,0.19813533015756196,0.17464896850189468,0.34088117330059736,0.13557348591287638,0.11703820621740926,0.18844269446095144,0.10015177753386133,0.1411542565204564
INFY.NS,0.1456612588474437,0.08535772684553916,0.2184050246986863,0.174784214848209,1.0,0.1536957742641878,0.1633128216077492,0.14229715843213922,0.17226918725349671,0.20909576150259843,0.15286761028635115,0.1911532445616788,0.18027476704887474,0.6589363913790823,0.6141054765798475
ITC.NS,0.1464299273167271,0.08932089435410125,0.4035842282088527,0.22472655961765903,0.1536957742641878,1.0,0.3009061264556496,0.22425345286070028,0.1925883728720781,0.2727889120210541,0.16628780954946534,0.18467451297626658,0.16447598755858633,0.14700170241701888,0.1478015053910296
KOTAKBANK.NS,0.06468188165446985,0.35514774541280175,0.1595935100594359,0.4447156736452312,0.1633128216077492,0.3009061264556496,1.0,0.21771927071989522,0.16574941033843438,0.3338219180255892,0.16280926603839593,0.2159583952014978,0.1862400592156988,0.12499791342886528,0.1949824095970483
MARUTI.NS,0.12112170981134454,0.18289866051302428,0.19312976990617614,0.19813533015756196,0.14229715843213922,0.22425345286070028,0.21771927071989522,1.0,0.26751192098668625,0.2920022860058068,0.22508819424077073,0.3660115785819775,0.32317890119110837,0.10971093940236132,0.19115603833791292
ONGC.NS,0.13201777747542548,0.15091007827173886,0.020135549114247146,0.17464896850189468,0.17226918725349671,0.1925883728720781,0.16574941033843438,0.26751192098668625,1.0,0.4142273087412919,0.19461154648119453,0.392816064634481,0.41520935339140863,0.14161630314400683,0.25785034392488015
RELIANCE.NS,0.13142568317854175,0.31161590381774334,0.14647993448593682,0.34088117330059736,0.20909576150259843,0.2727889120210541,0.3338219180255892,0.2920022860058068,0.4142273087412919,1.0,0.23012283869022254,0.32701676999964846,0.34232167528101853,0.21166682466090558,0.24520560594533986
SUNPHARMA.NS,0.4223200261818322,0.09078923000371096,0.1034817209928411,0.13557348591287638,0.15286761028635115,0.16628780954946534,0.16280926603839593,0.22508819424077073,0.19461154648119453,0.23012283869022254,1.0,0.2622911029060442,0.2291310076977758,0.17384558403683226,0.21804978704158504
TATAMOTORS.NS,0.14002526616004154,0.14535001662654345,0.1008800118493738,0.11703820621740926,0.1911532445616788,0.18467451297626658,0.2159583952014978,0.3660115785819775,0.392816064634481,0.32701676999964846,0.2622911029060442,1.0,0.42161053192421494,0.22448747183274737,0.29772335757577645
TATASTEEL.NS,0.1708608169161454,0.2124754439077915,0.008000313092273439,0.18844269446095144,0.18027476704887474,0.16447598755858633,0.1862400592156988,0.32317890119110837,0.41520935339140863,0.34232167528101853,0.2291310076977758,0.42161053192421494,1.0,0.15893480445425165,0.2902055417684238
TCS.NS,0.15386998284841782,0.06859521186554138,0.1989334877174125,0.10015177753386133,0.6589363913790823,0.14700170241701888,0.12499791342886528,0.10971093940236132,0.14161630314400683,0.21166682466090558,0.17384558403683226,0.22448747183274737,0.15893480445425165,1.0,0.580770057535992
WIPRO.NS,0.1835298309052359,0.11132675950576265,0.12892946713128903,0.1411542565204564,0.6141054765798475,0.1478015053910296,0.1949824095970483,0.19115603833791292,0.25785034392488015,0.24520560594533986,0.21804978704158504,0.29772335757577645,0.2902055417684238,0.580770057535992,1.0
