Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2023-01-02,3121.404541015625,3126.5728072808856,3096.2817059489025,3120.9739105745166,709547
2023-01-03,3169.16259765625,3177.4410780865114,3105.9487005610376,3112.3609596196793,1245178
2023-01-04,3172.3203125,3184.4751670848154,3145.091989554534,3164.7117286890552,1231668
2023-01-05,3168.9228515625,3193.997787846409,3141.0244001124465,3187.202565398395,1826057
2023-01-06,3073.647216796875,3159.782648381589,3062.593123012041,3158.2991581061674,2488376
2023-01-09,3177.392822265625,3184.1401452290934,3082.8352022403087,3090.348220301996,2885060
2023-01-10,3145.283447265625,3156.385442223344,3091.401129522859,3143.9436560653985,3864655
2023-01-11,3185.767333984375,3205.6742397055086,3130.6884538464096,3148.8249377845104,2720512
2023-01-12,3191.174072265625,3206.1519723451543,3173.1812920774228,3186.0537062498565,2250391
2023-01-13,3229.648193359375,3233.907065373371,3163.0845963477336,3199.357091750638,1742837
2023-01-16,3198.469970703125,3216.649316808273,3163.9339207761645,3182.113266881313,1843607
2023-01-17,3241.01611328125,3244.2779916443565,3185.950397624615,3194.584409542297,1688475
2023-01-18,3252.14501953125,3270.3243674144283,3235.116826582377,3242.5516713910397,2421189
2023-01-19,3235.931884765625,3249.26654305831,3224.3238415172664,3242.5512003357217,1585044
2023-01-20,3226.338623046875,3256.6054454598634,3219.143612797339,3228.161265291728,1529349
2023-01-23,3276.03173828125,3279.96510395405,3219.1433820231946,3250.225730387927,1067916
2023-01-24,3296.562255859375,3311.575751957274,3278.3348944615573,3285.7217256592053,1387863
2023-01-25,3290.27783203125,3295.3143386623933,3266.5343007701454,3286.008839919743,874110
2023-01-27,3272.339111328125,3305.8678167184275,3244.758235027877,3286.6811201617334,1785879
2023-01-30,3294.019287109375,3317.810832981695,3247.8754315347414,3280.9244629816208,1953798
2023-01-31,3222.117431640625,3308.7454024736803,3214.7306012436366,3308.7454024736803,2820375
2023-02-01,3269.748779296875,3279.9656009819632,3218.5681752835585,3226.2428534958594,2205161
2023-02-02,3319.681640625,3327.93201257701,3281.0206403021025,3287.639955924305,1813847
2023-02-03,3340.691650390625,3361.509168891985,3312.487066493937,3361.509168891985,1804469
2023-02-06,3319.25,3331.9131710127504,3297.0895092808296,3331.9131710127504,1138714
2023-02-07,3331.337890625,3350.9562391707004,3320.641167770868,3327.836178304444,1455647
2023-02-08,3376.9541015625,3395.9487408609984,3336.6140314163167,3336.6140314163167,1986946
2023-02-09,3396.86083984375,3403.336349971705,3362.756439660663,3372.0619407057225,1655427
2023-02-10,3393.694580078125,3398.2994335691774,3365.4899988282914,3376.8582089268975,1187821
2023-02-13,3340.787109375,3404.6788949173124,3332.153096961854,3404.6788949173124,1087939
2023-02-14,3357.767822265625,3381.51135853098,3352.875121107725,3362.468469093727,1579818
2023-02-15,3377.4814453125,3382.6139793803054,3319.4416989277843,3345.1999279918105,1429449
2023-02-16,3413.36083984375,3429.621515993147,3383.5734508833093,3383.7652709787526,1618931
2023-02-17,3358.77490234375,3394.98979062334,3348.078413132962,3382.7582720653327,1061369
2023-02-20,3345.488037109375,3378.776905261915,3333.7361867148666,3359.590210740269,1296082
2023-02-21,3310.664306640625,3366.2096963964727,3304.6684643002877,3351.9157019421455,1139541
2023-02-22,3263.224853515625,3306.826566889277,3256.9411646617623,3276.079844250767,1218430
2023-02-23,3274.976806640625,3312.0069850914083,3269.4126186044764,3281.8839695557263,1441570
2023-02-24,3262.16943359375,3294.3071440716617,3244.757603542233,3283.3228092732156,977592
2023-02-27,3196.359375,3252.144593441408,3181.1538265049285,3252.144593441408,1128022
2023-02-28,3178.132080078125,3254.063328507291,3165.7085082433923,3193.145574568549,4116217
2023-03-01,3248.019287109375,3251.1851383060953,3180.194373999618,3187.86905122194,1669307
2023-03-02,3186.382080078125,3232.861797811115,3183.0724223223824,3224.3238129673077,1556538
2023-03-03,3206.240966796875,3221.4465182886142,3195.640503771766,3217.6091787790388,1043190
2023-03-06,3234.733154296875,3266.4869957988403,3222.4056083737873,3225.1875856218485,1334132
2023-03-08,3252.5283203125,3257.9006883953557,3195.400125469975,3227.201977550641,1844590
2023-03-09,3201.15625,3247.348124466536,3195.4002415075925,3247.348124466536,1648500
2023-03-10,3195.5439453125,3201.5397872993517,3156.211221878753,3178.1798932335464,1024404
2023-03-13,3148.48828125,3232.765923228851,3138.942948405277,3197.4623615631995,1901233
