Date,Close,High,Low,Open,Volume,Daily_Return,MA_5,MA_20
2023-01-02,8158.755859375,8207.980631213626,8094.967601675456,8121.570615105511,398159.0,0.004578577966228258,,
2023-01-03,8138.8037109375,8157.493516960052,8062.491427682066,8136.133738648564,493207.0,0.0003281622911694715,,
2023-01-04,8177.6884765625,8288.61369503051,8069.190505763375,8132.250589829711,566744.0,0.005587369232032009,,
2023-01-05,8214.873046875,8228.36892206359,8145.890863416674,8199.193597107282,417716.0,0.0019123160810899887,,
2023-01-06,8139.09521484375,8237.059309731101,8107.00719038359,8213.806087502415,368978.0,-0.009095767767434874,8165.84326171875,
2023-01-09,8133.2216796875,8201.136260684754,8082.831637641959,8179.678821902294,613406.0,-0.00567958024102339,8160.73642578125,
2023-01-10,8051.8115234375,8165.260693771898,8022.441828314242,8136.133723401726,493677.0,-0.010363915199880756,8143.33798828125,
2023-01-11,8043.3642578125,8092.103576317938,8009.091713390439,8092.103576317938,327536.0,-0.0060230715098700295,8116.47314453125,
2023-01-12,8125.64892578125,8133.221749121739,8019.62655458345,8073.026005007432,283772.0,0.006518363837943496,8098.6283203125,
2023-01-13,8207.3994140625,8252.691291407804,8107.978959904495,8152.640321676212,705220.0,0.006716731049779642,8112.28916015625,
2023-01-16,8136.23046875,8266.525306390384,8100.792654648465,8233.22365975382,500575.0,-0.01178070644162722,8112.89091796875,
2023-01-17,8232.5927734375,8246.13700529589,8099.386177550274,8165.115287060325,409248.0,0.008264119244477838,8149.04716796875,
2023-01-18,8246.8642578125,8288.953297309998,8217.98001327528,8226.427023995542,402883.0,0.002484339040186554,8189.74716796875,
2023-01-19,8254.2451171875,8271.089838140342,8210.40864141728,8232.253872237583,184776.0,0.002671351648189592,8215.46640625,
2023-01-20,8194.193359375,8252.64167000777,8167.202556247689,8215.795862570021,346337.0,-0.0026293865568689555,8212.8251953125,
2023-01-23,8172.15380859375,8235.16553460856,8134.095325307546,8233.223736557487,410827.0,-0.007417498894457623,8220.00986328125,
2023-01-24,8445.65625,8464.297700910833,8172.057094352658,8204.096762181294,1039571.0,0.029443763868343287,8262.62255859375,
2023-01-25,8528.474609375,8575.951955759909,8427.695470009296,8493.32881962791,1131883.0,0.004138046517858677,8318.94462890625,
2023-01-27,8483.23046875,8630.321675160945,8369.24654076223,8571.5339271779,743546.0,-0.010301943523540658,8364.74169921875,
2023-01-30,8560.416015625,8607.019165080597,8464.29701987283,8523.52185563932,1036998.0,0.004328511219956676,8437.98623046875,8232.235961914062
2023-01-31,8636.4384765625,8683.575437703681,8573.23332512745,8599.156520431907,643670.0,0.004335536403135583,8530.8431640625,8256.120092773437
2023-02-01,8513.6669921875,8767.654729786724,8421.480894168255,8676.924032068417,707460.0,-0.01881508231229716,8544.4453125,8274.863256835937
2023-02-02,8612.0205078125,8679.83742656914,8496.434218466187,8509.93009439357,456995.0,0.011996621862521262,8561.1544921875,8296.579858398438
2023-02-03,8682.0703125,8702.168112295461,8587.748039468328,8679.837434332414,351157.0,0.0002572488464765537,8600.9224609375,8319.939721679688
2023-02-06,8648.76953125,8675.954707145263,8563.330407007747,8667.168259564996,205161.0,-0.0021228073303747957,8618.5931640625,8345.4234375
2023-02-07,8507.455078125,8660.420042954505,8497.842797698786,8648.769253659051,318669.0,-0.016339223696396468,8592.796484375,8364.135107421875
2023-02-08,8577.6015625,8596.825173021023,8420.65536030296,8517.696904727927,391645.0,0.007032964243987302,8605.5833984375,8390.424609375
2023-02-09,8545.0771484375,8575.951549465744,8446.82197218974,8546.144758165037,392186.0,-0.00012492296324810944,8592.1947265625,8415.51025390625
2023-02-10,8554.9306640625,8616.728765678852,8517.648710739959,8541.775172026431,276298.0,0.0015401356007533067,8566.766796875,8436.974340820312
2023-02-13,8553.0869140625,8606.438007040198,8500.901089585568,8531.29004053597,253037.0,0.002554932890918345,8547.6302734375,8454.258715820313
2023-02-14,8519.1064453125,8589.544990744056,8509.9312584912,8558.476217181966,227030.0,-0.004600091286159922,8549.960546875,8473.402514648438
2023-02-15,8587.9423828125,8636.827723705504,8487.600335319208,8519.106202239313,452568.0,0.00808021157842748,8552.0287109375,8491.169995117187
2023-02-16,8548.86328125,8621.584003055757,8534.203084105868,8621.584003055757,247514.0,-0.008434728673986466,8552.7859375,8506.269946289063
2023-02-17,8551.4365234375,8615.758588627557,8495.12437579941,8531.290367170424,214587.0,0.0023614430408559076,8552.087109375,8521.129516601562
2023-02-20,8440.6572265625,8591.48602046348,8422.792304105074,8551.436433126592,298434.0,-0.012954455947886667,8529.601171875,8533.452709960937
2023-02-21,8417.548828125,8466.23979519541,8387.06316655599,8440.996419659275,323478.0,-0.002777822708189463,8509.2896484375,8545.7224609375
2023-02-22,8406.9658203125,8465.268113793474,8335.167651900101,8423.034008626597,363931.0,-0.0019076485144949432,8473.0943359375,8543.787939453125
2023-02-23,8443.1806640625,8492.89088387664,8365.266017141008,8440.46233641545,317544.0,0.00032205909329417466,8451.9578125,8539.5232421875
2023-02-24,8408.470703125,8485.65717283211,8358.76048520693,8457.501102121341,242982.0,-0.005797267822293672,8423.3646484375,8535.78525390625
2023-02-27,8380.99609375,8391.529970598682,8281.770007895357,8378.859925924611,220225.0,0.0002549473131516889,8411.432421875,8526.8142578125
2023-02-28,8373.373046875,8455.560032719859,8354.877609150033,8398.276987372463,370998.0,-0.002965363078034704,8402.597265625,8513.660986328125
2023-03-01,8509.1064453125,8520.853946157386,8369.150948967574,8369.150948967574,333441.0,0.016722783135150812,8423.025390625,8513.432958984375
2023-03-02,8299.97265625,8515.754954580349,8261.476132431064,8515.754954580349,603893.0,-0.02533918595371116,8394.3837890625,8497.83056640625
2023-03-03,8350.9453125,8377.887760681588,8301.186737029502,8342.012851762433,437977.0,0.0010707800259118847,8382.8787109375,8481.27431640625
2023-03-06,8380.267578125,8410.89925638718,8340.946162924298,8388.568576149743,275417.0,-0.0009895607277198388,8382.7330078125,8467.84921875
2023-03-08,8440.900390625,8458.521641084111,8359.489929060797,8374.005060794914,348171.0,0.007988451086956427,8396.2384765625,8464.521484375
2023-03-09,8293.37109375,8482.744758434275,8285.700612215858,8471.093970165854,431466.0,-0.02097992030802297,8353.09140625,8450.3099609375
2023-03-10,8351.236328125,8376.916796993457,8233.320451779216,8281.768692437898,516128.0,0.008388019306858131,8363.344140625,8440.617919921875
2023-03-13,8270.5068359375,8385.946163945035,8234.291542905083,8351.236522953028,479314.0,-0.00966679446733973,8347.2564453125,8426.396728515625
2023-03-14,8264.439453125,8296.284755131497,8199.243196937467,8296.284755131497,349510.0,-0.0038385015638234803,8324.0908203125,8411.96435546875
2023-03-15,8228.3212890625,8451.628075871835,8194.388176829487,8398.27698217714,509229.0,-0.020236971640173407,8281.575,8397.42509765625
2023-03-16,8191.91259765625,8285.070553618434,8166.232127469733,8213.90289283941,340261.0,-0.002677204182962702,8261.28330078125,8377.623608398437
2023-03-17,8074.8212890625,8263.273361320833,8052.199531094249,8255.554524336068,471602.0,-0.021892319254968935,8206.00029296875,8353.921508789062
2023-03-20,7980.4013671875,8074.821298795093,7893.409192490795,8074.821298795093,488199.0,-0.011693129558381928,8147.97919921875,8325.369750976562
2023-03-21,7988.9462890625,8034.189806479607,7975.935862263441,8005.062834371523,287497.0,-0.002013294041843549,8092.88056640625,8302.784204101563
2023-03-22,8012.248046875,8048.364734586075,7977.877839757324,7996.324922507159,218120.0,0.0019913053211510685,8049.66591796875,8282.519165039062
2023-03-23,8110.1142578125,8131.279667796668,7993.023261710057,8023.509871602587,540553.0,0.01079382808718538,8033.30625,8267.676586914062
2023-03-24,8003.0244140625,8142.445142837172,7972.0523541210305,8110.114393068477,391840.0,-0.013204496732808588,8018.946875,8245.668774414062
2023-03-27,8037.4423828125,8074.773643753948,7990.062695196493,8009.917771908322,364326.0,0.0034363162878787695,8030.355078125,8227.117358398438
2023-03-28,7969.916015625,8112.443808031562,7903.118349912935,8064.190883255215,360349.0,-0.011690555071801582,8026.5490234375,8206.563354492188
2023-03-29,8053.8994140625,8077.006623872945,7949.236676819645,8009.771858698012,339851.0,0.005509215011732076,8034.879296875,8190.589672851563
2023-03-31,8050.84130859375,8126.425423870137,8016.762181478429,8083.657508370852,478757.0,-0.00405957324925259,8023.02470703125,8167.676416015625
2023-04-03,8255.603515625,8329.343492908047,8146.182995928574,8168.02822597758,627265.0,0.010721717313475402,8073.54052734375,8165.457958984375
2023-04-05,8201.232421875,8299.24486810588,8184.6787831226675,8273.953138126013,272888.0,-0.008789113865767405,8106.29853515625,8157.972314453125
2023-04-06,8268.80859375,8286.624213827463,8133.318859366311,8217.690374438858,309551.0,0.006220509289343031,8166.07705078125,8152.399365234375
2023-04-10,8286.76953125,8306.818028049687,8158.513195918223,8210.504651203672,308275.0,0.00928869579717587,8212.65107421875,8144.692822265625
2023-04-11,8407.5498046875,8418.618434597187,8296.333493245298,8330.314964545894,409240.0,0.009271539007867025,8283.9927734375,8150.4017578125
2023-04-12,8370.1689453125,8456.482248876868,8340.99361890721,8419.636440829161,408458.0,-0.0058752531495041066,8306.905859375,8151.348388671875
2023-04-13,8418.4716796875,8450.705719256408,8369.150195311378,8376.965743394047,480202.0,0.0049547697298612525,8350.3537109375,8158.746630859375
2023-04-17,8422.2099609375,8592.45673287896,8398.276919706554,8592.45673287896,489356.0,-0.019813515183615894,8381.033984375,8166.63515625
2023-04-18,8478.5224609375,8494.20191261999,8437.113234791217,8439.977576783887,276111.0,0.004566941535441905,8419.3845703125,8179.14521484375
2023-04-19,8427.35546875,8487.405196234375,8410.364735233721,8437.161169979094,280819.0,-0.0011622038540622134,8423.345703125,8190.9173583984375
2023-04-20,8461.0458984375,8485.561099777691,8412.986394820095,8417.694876018091,369060.0,0.005149987384659819,8441.52109375,8210.228588867187
2023-04-21,8309.3916015625,8450.705776100991,8301.187314529352,8426.822037471034,424157.0,-0.013935316942302062,8419.705078125,8226.678100585938
2023-04-24,8219.77734375,8327.401123822834,8198.999724892488,8327.401123822834,543745.0,-0.012924053792118464,8379.2185546875,8238.219653320313
2023-04-25,8222.4482421875,8276.915305586132,8174.970894197681,8262.351818244924,906406.0,-0.0048295663190363325,8328.0037109375,8248.729663085938
2023-04-26,8259.341796875,8301.18716813763,8189.437062827526,8278.856489205798,959058.0,-0.0023571724375512754,8294.4009765625,8256.191040039062
2023-04-27,8294.3427734375,8320.605404835698,8224.729117352907,8320.605404835698,536521.0,-0.0031563366029754417,8261.0603515625,8270.756958007812
